code,actual_controller,ownership_type
000631,鲁冠球,private
000632,"福州开发区国有资产营运有限公司,福州经济技术开发区经济发展总公司",state
000633,秦安昌,private
000635,国务院国有资产监督管理委员会,state
000636,广东省人民政府国有资产监督管理委员会,state
000637,刘军,private
000639,王勇,private
000650,杨文龙,private
000651,珠海市国有资产监督管理委员会,state
000652,天津市人民政府,state
000655,山东省人民政府国有资产监督管理委员会,state
000656,"黄红云,陶虹遐",private
000657,中国五矿集团公司,private
000659,CVC Capital Partners Group,private
000661,长春市人民政府,state
000663,永安市国有资产管理委员会,state
000665,武汉经济技术开发区国有资产管理办公室,state
000668,"盛毓南,盛小宁",private
000669,李建新,private
000670,陈炎表,private
000672,于洋,private
000676,李向清,private
000677,潍坊市人民政府,state
000678,湖北省国有资产监督管理委员会,state
000679,孙喜双,private
000680,山东省国有资产监督管理委员会,state
000681,姜放,private
000682,烟台市人民政府国有资产监督管理委员会,state
000683,戴连荣,private
000685,中山市人民政府国有资产监督管理委员会,state
000686,,no_controller
000688,刘建民,private
000690,叶华能,private
000691,朱全祖,private
000692,沈阳市国有资产监督管理委员会,state
000695,天津市人民政府,state
000697,咸阳市国有资产监督管理委员会,state
000698,中国国有资产监督管理委员会,state
000700,曹明芳,private
000701,厦门市人民政府国有资产监督管理委员会,state
000702,湖南省岳阳市屈原管理区,private
000703,郭迎辉,private
000705,绍兴市人民政府国有资产监督管理委员会,state
000707,湖北省宜昌市人民政府国有资产监督管理委员会,state
000708,中国中信集团公司,private
000709,河北省国有资产监督管理委员会,state
000710,国务院国有资产监督管理委员会,state
000711,张国明,private
000712,杨志茂,private
000713,合肥市国有资产监督管理委员会,state
000715,沈阳市国有资产监督管理委员会,state
000716,"李汉荣,李汉朝,李玉坚",private
000717,广东省国有资产监督管理委员会,state
000718,张桂平,private
000719,河南省人民政府,state
000720,国务院国有资产监督管理委员会,state
000721,西安市人民政府国有资产监督管理委员会,state
000722,湖南省人民政府,state
000723,"姚俊良,姚俊花,姚巨货,姚四俊,姚俊杰,姚俊卿,姚三俊",private
000725,北京市人民政府国有资产监督管理委员会,state
000726,刘石祯,private
000727,国务院国有资产监督管理委员会,state
000728,安徽省国有资产监督管理委员会,state
000729,北京市人民政府,state
000731,国务院国有资产监督管理委员会,state
000733,国务院国有资产监督管理委员会,state
000735,徐自力,private
000736,国务院国有资产监督管理委员会,state
000737,中国盐业总公司,private
000738,国务院国有资产监督管理委员会,state
000739,横店集团企业劳动群众集体,private
000750,桂林市国有资产监督管理委员会,state
000751,国务院国有资产监督管理委员会,state
000752,范志明,private
000753,漳州市人民政府国有资产监督管理委员会,state
000755,山西省国有资产监督管理委员会,state
000756,山东省国有资产监督管理委员会,state
000757,金洪华,private
000758,国务院国有资产监督管理委员会,state
000759,武汉市国有资产监督管理委员会,state
000761,辽宁省国有资产监督管理委员会,state
000762,西藏自治区国有资产监督委员会,state
000766,通化市二道江区人民政府财政局,state
000767,国务院国有资产监督管理委员会,state
000768,中国航空工业集团公司,state
000776,,no_controller
000777,国务院国有资产监督管理委员会,state
000778,国务院国有资产监督管理委员会,state
000779,甘肃省政府国有资产监督管理委员会,state
000782,"梁广义,梁伟东,梁少勋",private
000783,,no_controller
000785,武汉市国有资产监督管理委员会,state
000786,国务院国有资产监督管理委员会,state
000788,北京大学,private
000789,江西省国有资产监督管理委员会,state
000790,李小敏,private
000791,甘肃省国有资产监督管理委员会,state
000792,青海省国有资产投资管理有限公司,state
000793,财政部,private
000795,横店社团经济企业联合会,private
000796,海南航空股份有限公司工会委员会,private
000797,福建省国有资产管理委员会,state
000798,国务院国有资产监督管理委员会,state
000799,国务院国有资产监督管理委员会,state
000800,国务院国有资产监督管理委员会,state
000801,绵阳市国有资产管理委员会,state
000802,冯村经济合作社,private
000803,胡先成,private
000807,云南省国有资产监督管理委员会,state
000809,"刘武,封玮,黎雪松,张素君,黄永和,杨帆,粟世金",private
000810,国务院国有资产监督管理委员会,state
000811,烟台市人民政府国有资产监督管理委员会,state
000812,袁汉源,private
000813,新疆维吾尔自治区国有资产监督管理委员会,state
000815,国务院国有资产监督管理委员会,state
000816,罗韶宇,private
000818,葫芦岛市国有资产监督管理委员会,state
000819,国务院国有资产监督管理委员会,state
000820,张丙坤,private
000821,孙友元,private
000822,国务院国有资产管理委员会,state
000823,汕头市国有资产监督管理委员会,state
000825,山西省国有资产监督管理委员会,state
000826,文一波,private
000828,东莞市国有资产监督管理委员会,state
000829,,no_controller
000830,聊城市人民政府国有资产监督管理委员会,state
000831,国务院国有资产监督管理委员会,state
000833,华强集团81名骨干员工,private
000837,,no_controller
000838,"张家港众合融通科技发展有限公司,成都金森投资管理有限责任公司,国投资产管理公司,上海通维投资有限公司,张家港市金城投资发展有限公司,北京国华置业有限公司,张家港骏马涤纶制品有限公司,北京电力实业开发总公司,北京首创资产管理有限公司",private
000839,财政部,private
000848,鲁冠球,private
000850,安徽省安庆市经济和信息化委员会,private
000852,国务院国有资产监督管理委员会,state
000856,唐山市人民政府国有资产监督管理委员会,state
000858,宜宾市国有资产经营有限公司,state
000859,合肥市人民政府国有资产监督管理委员会,state
000860,北京市顺义区国有资产监督管理委员会,state
000862,宁夏回族自治区国有资产监督管理委员会,state
000863,郭英,private
000868,安徽省人民政府国有资产监督管理委员会,state
000869,"烟台裕华投资发展有限公司,意大利意利瓦萨隆诺投资公司,烟台市国有资产监督管理委员会,国际金融公司",state
000875,国务院国有资产监督管理委员会,state
000876,刘永好,private
000877,国务院国有资产监督管理委员会,state
000878,国务院国有资产监督管理委员会,state
000880,山东省国有资产监督管理委员会,state
000881,大连市人民政府国有资产监督管理委员会,state
000882,国务院国有资产监督管理委员会,state
000883,湖北省人民政府国有资产监督管理委员会,state
000885,河南省发展和改革委员会,private
000886,海南省政府国有资产监督管理委员会,state
000887,夏鼎湖,private
000888,峨眉山-乐山大佛风景名胜区管理委员会,private
000889,黄茂如,private
000890,"周江,张炜,周津如,邓峰,缪勤,姚冬敏,张薇,徐波",private
000892,杜惠恺,private
000893,赖宁昌,private
000895,Rise Grand Group Limited,private
000897,天津市人民政府,state
000898,国务院国有资产监督管理委员会,state
000899,江西省国有资产监督管理委员会,state
000900,湖南省交通运输厅,private
000901,国务院国有资产监督管理委员会,state
000902,国务院国有资产监督管理委员会,state
000903,昆明市国有资产管理委员会,state
000905,厦门市国有资产监督管理委员会,state
000906,浙江省国有资产监督管理委员会,state
000908,中国长城资产管理公司,private
000909,杭州市人民政府,state
000910,陈兴康,private
000911,南宁市国有资产监督管理委员会,state
000912,四川省政府国有资产监督管理委员会,state
000913,温岭市财政局,state
000915,山东大学,private
000917,湖南广播电视台,private
000919,南京市国有资产监督管理委员会,state
000920,国务院国有资产监督管理委员会,state
000921,青岛市人民政府国有资产监督管理委员会,state
000922,国务院国有资产监督管理委员会,state
000923,河北省国有资产监督管理委员会,state
000925,浙江浙大圆正控股集团有限公司,private
000926,湖北省汉川市钢丝绳厂,private
000927,国务院国有资产监督管理委员会,state
000928,国务院国有资产监督管理委员会,state
000929,杨世江,private
000930,国务院国有资产监督管理委员会,state
000931,黄光裕,private
000932,湖南省国有资产监督管理委员会,state
000933,商丘市人民政府国有资产监督管理委员会,state
000935,拉法基瑞安水泥有限公司,private
000936,江阴市华西新市村村民委员会,private
000937,河北省人民政府国有资产监督管理委员会,state
000938,教育部,private
000948,云南省人民政府国有资产监督管理委员会,state
000949,河南省新乡市国有资产监督管理委员会,state
000950,重庆市国有资产监督管理委员会,state
000951,山东省政府,private
000952,武穴市财政局,state
000953,国务院国有资产监督管理委员会,state
